cycle	commit	bugid	added	deleted	file
activemq-5.4.0-activemq-5.5.0	5b11c0e476771ae94fe073bc3d6cf09912ba058d	AMQ-2662	1	1	activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQEndpointWorker.java
activemq-5.4.0-activemq-5.5.0	41506505f4b348b7e5b720150f476448914b434e	AMQ-1780	14	4	activemq-core/src/main/java/org/apache/activemq/broker/BrokerService.java
activemq-5.4.0-activemq-5.5.0	41506505f4b348b7e5b720150f476448914b434e	AMQ-1780	1	1	activemq-core/src/main/java/org/apache/activemq/store/jdbc/DefaultDatabaseLocker.java
activemq-5.4.0-activemq-5.5.0	41506505f4b348b7e5b720150f476448914b434e	AMQ-1780	19	2	activemq-core/src/main/java/org/apache/activemq/store/jdbc/JDBCPersistenceAdapter.java
activemq-5.4.0-activemq-5.5.0	41506505f4b348b7e5b720150f476448914b434e	AMQ-1780	8	3	activemq-core/src/main/java/org/apache/activemq/store/jdbc/TransactionContext.java
activemq-5.4.0-activemq-5.5.0	41506505f4b348b7e5b720150f476448914b434e	AMQ-1780	104	4	activemq-core/src/main/java/org/apache/activemq/util/DefaultIOExceptionHandler.java
activemq-5.4.0-activemq-5.5.0	41506505f4b348b7e5b720150f476448914b434e	AMQ-1780	10	2	activemq-core/src/test/java/org/apache/activemq/JmsTopicSendReceiveWithTwoConnectionsTest.java
activemq-5.4.0-activemq-5.5.0	41506505f4b348b7e5b720150f476448914b434e	AMQ-1780	157	0	activemq-core/src/test/java/org/apache/activemq/broker/ft/DbRestartJDBCQueueTest.java
activemq-5.4.0-activemq-5.5.0	751ba900aec76163339c42bef5a5ed664a4cddf5	AMQ-2171	9	4	activemq-core/src/main/java/org/apache/activemq/ActiveMQQueueBrowser.java
activemq-5.4.0-activemq-5.5.0	751ba900aec76163339c42bef5a5ed664a4cddf5	AMQ-2171	146	0	activemq-core/src/test/java/org/apache/activemq/bugs/AMQ2171Test.java
