cycle	commit	bugid	added	deleted	file
activemq-5.1.0-activemq-5.2.0	7238f80d9b5318e9fa5e0e820372fc62ab76a07b	AMQ-1995	15	10	activemq-core/src/test/java/org/apache/activemq/advisory/TempQueueMemoryTest.java
activemq-5.1.0-activemq-5.2.0	f8eed489fb90e418d00b28635963160415707c45	AMQ-1993	1	1	activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpBufferedOutputStream.java
activemq-5.1.0-activemq-5.2.0	f561d6bb6769cc313870da600315e120a0b547e1	AMQ-1993	6	2	activemq-core/src/main/java/org/apache/activemq/transport/TransportFactory.java
activemq-5.1.0-activemq-5.2.0	f561d6bb6769cc313870da600315e120a0b547e1	AMQ-1993	150	0	activemq-core/src/main/java/org/apache/activemq/transport/WriteTimeoutFilter.java
activemq-5.1.0-activemq-5.2.0	f561d6bb6769cc313870da600315e120a0b547e1	AMQ-1993	22	2	activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpBufferedOutputStream.java
activemq-5.1.0-activemq-5.2.0	f561d6bb6769cc313870da600315e120a0b547e1	AMQ-1993	5	1	activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpTransport.java
activemq-5.1.0-activemq-5.2.0	0d2172bc9b5d75e97b7b004c074221807326046a	AMQ-1993	64	0	activemq-core/src/main/java/org/apache/activemq/transport/ThreadNameFilter.java
activemq-5.1.0-activemq-5.2.0	0d2172bc9b5d75e97b7b004c074221807326046a	AMQ-1993	5	0	activemq-core/src/main/java/org/apache/activemq/transport/TransportFactory.java
activemq-5.1.0-activemq-5.2.0	03a6468d127b1afb280751539dc86c8d881cb0f4	AMQ-1983	1	1	activemq-core/src/main/java/org/apache/activemq/broker/ft/MasterBroker.java
activemq-5.1.0-activemq-5.2.0	1651992d10660944c0522f9d17d815594e4101e7	AMQ-1983	25	0	activemq-core/src/test/java/org/apache/activemq/advisory/MasterSlaveTempQueueMemoryTest.java
activemq-5.1.0-activemq-5.2.0	1651992d10660944c0522f9d17d815594e4101e7	AMQ-1983	76	25	activemq-core/src/test/java/org/apache/activemq/advisory/TempQueueMemoryTest.java
activemq-5.1.0-activemq-5.2.0	58b8d19a970c0cdba90fd6372739ae13b0891af6	AMQ-1964	3	1	activemq-core/src/main/java/org/apache/activemq/command/ActiveMQStreamMessage.java
activemq-5.1.0-activemq-5.2.0	58b8d19a970c0cdba90fd6372739ae13b0891af6	AMQ-1964	30	6	activemq-core/src/test/java/org/apache/activemq/command/ActiveMQStreamMessageTest.java
activemq-5.1.0-activemq-5.2.0	537b1b0284b7c5b4ff093b9c9b03e8b6791334db	AMQ-1965	3	1	activemq-core/src/main/java/org/apache/activemq/command/ActiveMQStreamMessage.java
activemq-5.1.0-activemq-5.2.0	537b1b0284b7c5b4ff093b9c9b03e8b6791334db	AMQ-1965	7	1	activemq-core/src/test/java/org/apache/activemq/command/ActiveMQStreamMessageTest.java
activemq-5.1.0-activemq-5.2.0	c761823613136111f67429a2665df85a65cb5648	AMQ-1982	1	1	assembly/src/release/conf/activemq.xml
activemq-5.1.0-activemq-5.2.0	c761823613136111f67429a2665df85a65cb5648	AMQ-1982	1	1	assembly/src/release/webapps/admin/WEB-INF/webconsole-embedded.xml
activemq-5.1.0-activemq-5.2.0	d81ce2e2765d05c12f9d671ea04fb6e1cfa6e0c3	AMQ-1979	12	1	activemq-core/src/main/java/org/apache/activemq/broker/ft/MasterBroker.java
activemq-5.1.0-activemq-5.2.0	d81ce2e2765d05c12f9d671ea04fb6e1cfa6e0c3	AMQ-1979	12	2	activemq-core/src/test/java/org/apache/activemq/advisory/MasterSlaveTempQueueMemoryTest.java
activemq-5.1.0-activemq-5.2.0	d81ce2e2765d05c12f9d671ea04fb6e1cfa6e0c3	AMQ-1979	8	3	activemq-core/src/test/java/org/apache/activemq/advisory/TempQueueMemoryTest.java
activemq-5.1.0-activemq-5.2.0	fdee6e81e2e0246de1bb6321fd137124d9afbbd3	AMQ-1976	35	31	activemq-core/src/main/java/org/apache/activemq/broker/region/PrefetchSubscription.java
activemq-5.1.0-activemq-5.2.0	fdee6e81e2e0246de1bb6321fd137124d9afbbd3	AMQ-1976	2	2	activemq-core/src/main/java/org/apache/activemq/network/DemandForwardingBridgeSupport.java
activemq-5.1.0-activemq-5.2.0	fdee6e81e2e0246de1bb6321fd137124d9afbbd3	AMQ-1976	0	4	activemq-core/src/test/java/org/apache/activemq/usecases/QueueMemoryFullMultiBrokersTest.java
activemq-5.1.0-activemq-5.2.0	bc7e759662564c1af87b8655d31711a2f3ad36c8	AMQ-1976	105	0	activemq-core/src/test/java/org/apache/activemq/usecases/QueueMemoryFullMultiBrokersTest.java
activemq-5.1.0-activemq-5.2.0	ae1bb668d6b07034603958a3436ab0a678acf149	AMQ-1970	3	4	activemq-core/src/main/java/org/apache/activemq/broker/region/PrefetchSubscription.java
activemq-5.1.0-activemq-5.2.0	ae1bb668d6b07034603958a3436ab0a678acf149	AMQ-1970	55	1	activemq-core/src/test/java/org/apache/activemq/advisory/MasterSlaveTempQueueMemoryTest.java
activemq-5.1.0-activemq-5.2.0	ae1bb668d6b07034603958a3436ab0a678acf149	AMQ-1970	5	5	activemq-core/src/test/java/org/apache/activemq/advisory/TempQueueMemoryTest.java
activemq-5.1.0-activemq-5.2.0	d261412058aae5fa0f83f95b82c5252bd3aebaba	AMQ-1971	1	9	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/AbstractPendingMessageCursor.java
activemq-5.1.0-activemq-5.2.0	d261412058aae5fa0f83f95b82c5252bd3aebaba	AMQ-1971	21	9	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/AbstractStoreCursor.java
activemq-5.1.0-activemq-5.2.0	d261412058aae5fa0f83f95b82c5252bd3aebaba	AMQ-1971	0	5	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/PendingMessageCursor.java
activemq-5.1.0-activemq-5.2.0	d261412058aae5fa0f83f95b82c5252bd3aebaba	AMQ-1971	0	11	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/StoreDurableSubscriberCursor.java
activemq-5.1.0-activemq-5.2.0	d261412058aae5fa0f83f95b82c5252bd3aebaba	AMQ-1971	1	14	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/TopicStorePrefetch.java
activemq-5.1.0-activemq-5.2.0	876118997bca86b1a78501c196572da86699535e	AMQ-1521	14	3	activemq-core/src/main/java/org/apache/activemq/network/DemandForwardingBridgeSupport.java
activemq-5.1.0-activemq-5.2.0	876118997bca86b1a78501c196572da86699535e	AMQ-1521	1	1	activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpTransport.java
activemq-5.1.0-activemq-5.2.0	876118997bca86b1a78501c196572da86699535e	AMQ-1521	4	0	activemq-core/src/test/java/org/apache/activemq/JmsMultipleBrokersTestSupport.java
activemq-5.1.0-activemq-5.2.0	876118997bca86b1a78501c196572da86699535e	AMQ-1521	1	1	activemq-core/src/test/java/org/apache/activemq/network/DuplexNetworkMBeanTest.java
activemq-5.1.0-activemq-5.2.0	876118997bca86b1a78501c196572da86699535e	AMQ-1521	161	0	activemq-core/src/test/java/org/apache/activemq/usecases/BrokerQueueNetworkWithDisconnectTest.java
activemq-5.1.0-activemq-5.2.0	876118997bca86b1a78501c196572da86699535e	AMQ-1521	283	0	activemq-core/src/test/java/org/apache/activemq/util/SocketProxy.java
activemq-5.1.0-activemq-5.2.0	2b2b3e8e0756dfec4d1b066a842e60e571d39017	AMQ-1955	8	0	activemq-web-demo/src/main/webapp/WEB-INF/web.xml
activemq-5.1.0-activemq-5.2.0	2b2b3e8e0756dfec4d1b066a842e60e571d39017	AMQ-1955	4	0	activemq-web/pom.xml
activemq-5.1.0-activemq-5.2.0	2b2b3e8e0756dfec4d1b066a842e60e571d39017	AMQ-1955	66	10	activemq-web/src/main/java/org/apache/activemq/web/MessageServlet.java
activemq-5.1.0-activemq-5.2.0	2b2b3e8e0756dfec4d1b066a842e60e571d39017	AMQ-1955	8	0	activemq-web/src/main/java/org/apache/activemq/web/MessageServletSupport.java
activemq-5.1.0-activemq-5.2.0	2b2b3e8e0756dfec4d1b066a842e60e571d39017	AMQ-1955	38	1	activemq-web/src/main/java/org/apache/activemq/web/WebClient.java
activemq-5.1.0-activemq-5.2.0	3fe7760e4a01cd1effc4b3c5e2546385c57cd2a8	AMQ-1957	1	1	activemq-core/src/main/java/org/apache/activemq/broker/region/IndirectMessageReference.java
activemq-5.1.0-activemq-5.2.0	3fe7760e4a01cd1effc4b3c5e2546385c57cd2a8	AMQ-1957	35	22	activemq-core/src/main/java/org/apache/activemq/broker/region/PrefetchSubscription.java
activemq-5.1.0-activemq-5.2.0	3fe7760e4a01cd1effc4b3c5e2546385c57cd2a8	AMQ-1957	32	24	activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java
