cycle	commit	bugid	added	deleted	file
activemq-5.2.0-activemq-5.3.0	79b4d44c927ef61afe252a08275339a24d6ea6ab	AMQ-2439	5	13	activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractRegion.java
activemq-5.2.0-activemq-5.3.0	79b4d44c927ef61afe252a08275339a24d6ea6ab	AMQ-2439	21	7	activemq-core/src/main/java/org/apache/activemq/network/DemandForwardingBridgeSupport.java
activemq-5.2.0-activemq-5.3.0	79b4d44c927ef61afe252a08275339a24d6ea6ab	AMQ-2439	39	22	activemq-core/src/main/java/org/apache/activemq/network/DemandSubscription.java
activemq-5.2.0-activemq-5.3.0	79b4d44c927ef61afe252a08275339a24d6ea6ab	AMQ-2439	82	0	activemq-core/src/test/java/org/apache/activemq/bugs/AMQ2439Test.java
activemq-5.2.0-activemq-5.3.0	47bf82495c6a224d4ad1c107d1ffd2d9238d1cf8	AMQ-2439	35	6	activemq-core/src/main/java/org/apache/activemq/store/kahadb/MessageDatabase.java
activemq-5.2.0-activemq-5.3.0	47bf82495c6a224d4ad1c107d1ffd2d9238d1cf8	AMQ-2439	98	0	activemq-core/src/test/java/org/apache/activemq/store/PersistenceAdapterTestSupport.java
activemq-5.2.0-activemq-5.3.0	47bf82495c6a224d4ad1c107d1ffd2d9238d1cf8	AMQ-2439	55	0	activemq-core/src/test/java/org/apache/activemq/store/jdbc/JDBCPersistenceAdapterTest.java
activemq-5.2.0-activemq-5.3.0	47bf82495c6a224d4ad1c107d1ffd2d9238d1cf8	AMQ-2439	39	0	activemq-core/src/test/java/org/apache/activemq/store/kahadb/KahaDBPersistenceAdapterTest.java
activemq-5.2.0-activemq-5.3.0	67b1873b669752494c12ab21a48f43b2fd042c2a	AMQ-2435	27	0	activemq-core/src/main/java/org/apache/activemq/broker/ConnectionContext.java
activemq-5.2.0-activemq-5.3.0	67b1873b669752494c12ab21a48f43b2fd042c2a	AMQ-2435	12	0	activemq-core/src/main/java/org/apache/activemq/broker/ProducerBrokerExchange.java
activemq-5.2.0-activemq-5.3.0	67b1873b669752494c12ab21a48f43b2fd042c2a	AMQ-2435	4	1	activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java
activemq-5.2.0-activemq-5.3.0	e429dccc5795827b8908d1e2dab5145ae6b949fd	AMQ-2433	3	3	assembly/src/sample-conf/activemq-throughput.xml
activemq-5.2.0-activemq-5.3.0	ba842ad58fac149426b7017e98a68edc05a4b945	AMQ-2414	23	1	activemq-core/src/main/java/org/apache/activemq/store/jdbc/adapter/MySqlJDBCAdapter.java
activemq-5.2.0-activemq-5.3.0	7e551e100ede57cdee87a1dae7717b37087e8ddf	AMQ-2414	1	1	activemq-core/src/main/java/org/apache/activemq/store/jdbc/adapter/DefaultJDBCAdapter.java
activemq-5.2.0-activemq-5.3.0	cb3dd92ed26fec1b9ed5784f7fc4e1ff8f003326	AMQ-2426	14	14	activemq-core/src/main/java/org/apache/activemq/transport/stomp/StompSubscription.java
activemq-5.2.0-activemq-5.3.0	1b6f8e26cfce46cb5d6641720dbcf8a05e399ec9	AMQ-2414	1	1	activemq-core/src/main/java/org/apache/activemq/store/jdbc/adapter/DefaultJDBCAdapter.java
activemq-5.2.0-activemq-5.3.0	d76664ae1ac422b1d78e6636cf7717b11555072c	AMQ-2414	6	4	activemq-core/src/main/java/org/apache/activemq/store/jdbc/DefaultDatabaseLocker.java
activemq-5.2.0-activemq-5.3.0	81f8131fcccbadc49fe10bb7d0966bb16c2d4083	AMQ-2414	30	5	activemq-core/src/main/java/org/apache/activemq/store/jdbc/adapter/MySqlJDBCAdapter.java
activemq-5.2.0-activemq-5.3.0	3f6da8dd1dcbd1579ab80aa1e2f22c02a3184356	AMQ-2398	2	0	activemq-camel/src/main/java/org/apache/activemq/camel/component/ActiveMQConfiguration.java
activemq-5.2.0-activemq-5.3.0	5f2abc13c801f257a389203b15365b0ef645348e	AMQ-1687	3	4	activemq-core/src/test/java/org/apache/activemq/spring/ConsumerBean.java
activemq-5.2.0-activemq-5.3.0	da6809ced39e304728aebeec3561fed644ec7568	AMQ-2393	17	0	activemq-camel/pom.xml
activemq-5.2.0-activemq-5.3.0	c5c7cd68a000bb68adc1797ce7f85e946bff217b	AMQ-2393	6	0	activemq-camel/pom.xml
activemq-5.2.0-activemq-5.3.0	c5c7cd68a000bb68adc1797ce7f85e946bff217b	AMQ-2393	110	0	activemq-camel/src/main/java/org/apache/camel/web/resources/RoutesResource.java
activemq-5.2.0-activemq-5.3.0	c5c7cd68a000bb68adc1797ce7f85e946bff217b	AMQ-2393	11	2	assembly/src/main/descriptors/common-bin.xml
activemq-5.2.0-activemq-5.3.0	c5c7cd68a000bb68adc1797ce7f85e946bff217b	AMQ-2393	16	0	assembly/src/release/webapps/camel/js/dojo/dojo.js
activemq-5.2.0-activemq-5.3.0	7167041ee66b3bfb2c052f6717277e85ebae92dc	AMQ-2166	38	27	activemq-ra/src/main/java/org/apache/activemq/ra/ManagedConnectionProxy.java
activemq-5.2.0-activemq-5.3.0	7167041ee66b3bfb2c052f6717277e85ebae92dc	AMQ-2166	13	6	activemq-ra/src/main/java/org/apache/activemq/ra/ManagedSessionProxy.java
activemq-5.2.0-activemq-5.3.0	7da608c411f3e4db9a33dae06967b6a218d480ad	AMQ-1813	1	1	activemq-core/src/main/java/org/apache/activemq/broker/BrokerService.java
activemq-5.2.0-activemq-5.3.0	7da608c411f3e4db9a33dae06967b6a218d480ad	AMQ-1813	18	0	activemq-core/src/main/java/org/apache/activemq/broker/ft/MasterConnector.java
