cycle	commit	bugid	added	deleted	file
activemq-5.3.0-activemq-5.4.0	52675ab3e7b9b5f6162d929f5aca0a6b986b672c	AMQ-2867	5	1	activemq-core/src/main/java/org/apache/activemq/transport/FutureResponse.java
activemq-5.3.0-activemq-5.4.0	52675ab3e7b9b5f6162d929f5aca0a6b986b672c	AMQ-2867	26	0	activemq-core/src/main/java/org/apache/activemq/transport/RequestTimedOutIOException.java
activemq-5.3.0-activemq-5.4.0	52675ab3e7b9b5f6162d929f5aca0a6b986b672c	AMQ-2867	54	8	activemq-core/src/test/java/org/apache/activemq/bugs/JmsTimeoutTest.java
activemq-5.3.0-activemq-5.4.0	b14fec37161f67e6fbf59405ed03333bbdc01e5b	AMQ-2869	2	2	activemq-console/src/main/java/org/apache/activemq/console/Main.java
activemq-5.3.0-activemq-5.4.0	46e2e6e3638479569368491cdf270353d5e1cc1d	AMQ-2868	4	1	activemq-core/src/main/java/org/apache/activemq/store/kahadb/KahaDBTransactionStore.java
activemq-5.3.0-activemq-5.4.0	46e2e6e3638479569368491cdf270353d5e1cc1d	AMQ-2868	6	4	activemq-core/src/main/java/org/apache/activemq/store/memory/MemoryTransactionStore.java
activemq-5.3.0-activemq-5.4.0	46e2e6e3638479569368491cdf270353d5e1cc1d	AMQ-2868	22	3	activemq-core/src/test/java/org/apache/activemq/broker/region/cursors/NegativeQueueTest.java
activemq-5.3.0-activemq-5.4.0	72278d5e0fb04baf5c4e6e7b04e8efd34bf53c10	AMQ-2857	12	3	activemq-core/src/main/java/org/apache/activemq/store/jdbc/adapter/MySqlJDBCAdapter.java
activemq-5.3.0-activemq-5.4.0	604ec7cc9f1e1dd40be0aac1a59e5892d1b49249	AMQ-2864	1	1	activemq-core/src/test/java/org/apache/activemq/bugs/AMQ2149KahaDBTest.java
activemq-5.3.0-activemq-5.4.0	4625a468a097d284575ddc478ab24caf861cb136	AMQ-2864	2	2	activemq-core/src/test/java/org/apache/activemq/bugs/AMQ2149KahaDBTest.java
activemq-5.3.0-activemq-5.4.0	d93ef2a919c61ba27dbb353f11dee8a333340465	AMQ-2863	1	1	kahadb/src/main/java/org/apache/kahadb/index/BTreeNode.java
activemq-5.3.0-activemq-5.4.0	7629eafd0a54f163b8092f43d2d83f9cd6ee3907	AMQ-2119	2	2	activemq-core/src/main/java/org/apache/activemq/broker/TransportConnection.java
activemq-5.3.0-activemq-5.4.0	7cab67bf1d0b90decbadbc733541cdae6ee20e05	AMQ-2226	10	10	activemq-fileserver/src/main/webapp/WEB-INF/web.xml
activemq-5.3.0-activemq-5.4.0	670a9c4c569112a2aaa4d9734c477c4bdcbc8a1a	AMQ-2776	3	3	activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpTransport.java
activemq-5.3.0-activemq-5.4.0	7f7a95b457741170d1436cc06626be2265e1f8f6	AMQ-2840	4	2	activemq-core/src/main/java/org/apache/activemq/command/ActiveMQMessage.java
activemq-5.3.0-activemq-5.4.0	7f7a95b457741170d1436cc06626be2265e1f8f6	AMQ-2840	14	3	activemq-core/src/test/java/org/apache/activemq/command/ActiveMQMessageTest.java
activemq-5.3.0-activemq-5.4.0	24b42fcd8236f0fc62f69d3a34ee9eb86287b620	AMQ-2856	0	9	assembly/pom.xml
activemq-5.3.0-activemq-5.4.0	ab2cd1133d45d70840c65efd7129e64196a763f4	AMQ-2659	9	12	activemq-core/src/main/java/org/apache/activemq/ActiveMQXASession.java
activemq-5.3.0-activemq-5.4.0	ab2cd1133d45d70840c65efd7129e64196a763f4	AMQ-2659	50	0	activemq-core/src/test/java/org/apache/activemq/JMSXAConsumerTest.java
activemq-5.3.0-activemq-5.4.0	34dcc17aa3ea1643e99d37098a08c30e1eaf94ec	AMQ-2203	17	0	activemq-core/src/test/java/org/apache/activemq/xbean/XBeanStartFalseTest.java
activemq-5.3.0-activemq-5.4.0	144a362aeebdd11a8144c704d3ee0414cbb70a84	AMQ-2203	8	0	activemq-core/src/test/java/org/apache/activemq/spring/SpringTest.java
